Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Cabin_a,Cabin_b
1,1,female,15.0,0,1,24160.0,211.3375,S,B,5.0
0,3,male,40.5,0,2,851.0,14.5,S,0,0.0
0,3,male,20.5,0,0,21173.0,7.25,S,0,0.0
1,3,male,39.0,0,0,3101289.0,7.925,S,0,0.0
1,3,female,0.0,0,0,9234.0,7.75,Q,0,0.0
0,1,male,47.0,0,0,36967.0,34.0208,S,D,46.0
0,3,male,19.0,0,0,323951.0,8.05,S,0,0.0
0,1,male,38.0,0,1,17582.0,153.4625,S,C,91.0
0,3,male,0.0,0,0,392092.0,8.05,S,0,0.0
1,1,female,56.0,0,1,11767.0,83.1583,C,C,50.0
0,2,male,50.0,0,0,250643.0,13.0,S,0,0.0
1,3,female,22.0,0,0,347081.0,7.75,S,0,0.0
0,3,male,20.0,0,0,3101287.0,7.925,S,0,0.0
1,3,male,18.0,0,0,3540.0,8.05,S,0,0.0
0,3,male,21.0,0,0,2152.0,8.05,S,0,0.0
0,3,male,17.0,0,0,315090.0,8.6625,S,0,0.0
0,3,male,28.0,0,0,347464.0,7.8542,S,0,0.0
0,3,male,33.0,1,1,363291.0,20.525,S,0,0.0
1,2,female,30.0,0,0,250648.0,13.0,S,0,0.0
0,2,male,21.0,1,0,28134.0,11.5,S,0,0.0
0,1,male,50.0,1,0,17761.0,106.425,C,C,86.0
0,2,male,34.0,0,0,12233.0,13.0,S,0,0.0
0,3,female,0.0,8,2,2343.0,69.55,S,0,0.0
0,1,male,0.0,0,0,112052.0,0.0,S,0,0.0
1,1,female,0.0,0,0,17585.0,79.2,C,0,0.0
0,3,male,43.0,0,0,3536.0,8.05,S,0,0.0
0,3,male,19.0,0,0,349231.0,7.8958,S,0,0.0
0,2,male,51.0,0,0,1166.0,12.525,S,0,0.0
0,3,female,8.0,3,1,349909.0,21.075,S,0,0.0
1,3,female,0.0,1,1,2668.0,22.3583,C,F,0.0
1,1,female,39.0,1,1,17421.0,110.8833,C,C,68.0
1,3,female,18.0,0,0,4138.0,9.8417,S,0,0.0
1,1,female,36.0,0,0,17760.0,135.6333,C,C,32.0
0,3,female,30.0,1,1,345773.0,24.15,S,0,0.0
0,3,male,22.0,0,0,21174.0,7.25,S,0,0.0
1,3,female,4.0,0,2,315153.0,22.025,S,0,0.0
0,3,male,47.0,0,0,3902.0,7.25,S,0,0.0
0,3,male,0.0,0,0,368323.0,6.95,Q,0,0.0
0,3,male,0.0,0,0,36209.0,7.725,Q,0,0.0
1,1,female,49.0,1,0,17572.0,76.7292,C,D,33.0
0,3,male,0.0,0,0,371060.0,7.75,Q,0,0.0
0,3,male,0.0,0,0,3101305.0,7.05,S,0,0.0
1,1,female,42.0,0,0,17757.0,227.525,C,0,0.0
0,2,male,28.0,0,0,218629.0,13.5,S,0,0.0
0,1,male,28.0,0,0,113059.0,47.1,S,0,0.0
1,3,female,0.0,1,0,371110.0,24.15,Q,0,0.0
1,1,female,39.0,1,1,110413.0,79.65,S,E,67.0
1,2,female,24.0,1,2,220845.0,65.0,S,0,0.0
0,3,male,43.0,0,0,7075.0,6.45,S,0,0.0
1,2,female,30.0,0,0,234818.0,12.35,Q,0,0.0
0,3,male,0.0,0,0,349208.0,7.8958,S,0,0.0
0,3,male,18.0,0,0,350036.0,7.7958,S,0,0.0
0,3,male,26.0,1,0,350025.0,7.8542,S,0,0.0
1,1,female,17.0,1,0,17474.0,57.0,S,B,20.0
0,3,male,55.5,0,0,11206.0,8.05,S,0,0.0
1,3,male,32.0,0,0,1601.0,56.4958,S,0,0.0
0,3,male,24.0,0,0,3101311.0,7.05,S,0,0.0
0,3,male,16.0,0,0,7534.0,9.2167,S,0,0.0
1,2,female,22.0,1,2,2123.0,41.5792,C,0,0.0
0,3,male,45.0,0,0,347061.0,6.975,S,0,0.0
0,3,male,28.0,0,0,345770.0,9.5,S,0,0.0
0,3,male,30.0,0,0,18509.0,8.05,S,0,0.0
0,3,male,0.0,0,0,34244.0,7.25,S,0,0.0
0,3,female,41.0,0,2,370129.0,20.2125,S,0,0.0
1,1,female,19.0,0,2,11752.0,26.2833,S,D,47.0
0,2,male,57.0,0,0,219533.0,12.35,Q,0,0.0
0,3,male,33.0,0,0,345780.0,9.5,S,0,0.0
1,2,male,3.0,1,1,230080.0,26.0,S,F,2.0
0,2,male,25.0,1,2,2123.0,41.5792,C,0,0.0
0,3,male,25.0,0,0,2672.0,7.225,C,0,0.0
0,3,male,14.0,5,2,2144.0,46.9,S,0,0.0
1,2,female,29.0,1,0,2926.0,26.0,S,0,0.0
1,1,female,35.0,1,0,19943.0,90.0,S,C,93.0
0,3,female,24.0,0,0,349236.0,8.85,S,0,0.0
0,3,male,27.0,1,0,2659.0,14.4542,C,0,0.0
1,2,female,17.0,0,0,1748.0,12.0,C,0,0.0
1,3,male,0.0,0,0,65306.0,8.1125,S,0,0.0
1,1,female,0.0,1,0,17464.0,51.8625,S,D,21.0
0,3,male,74.0,0,0,347060.0,7.775,S,0,0.0
0,3,male,32.0,0,0,349242.0,7.8958,S,0,0.0
1,2,female,19.0,1,0,2908.0,26.0,S,0,0.0
0,3,male,18.0,1,1,370129.0,20.2125,S,0,0.0
1,2,female,45.0,1,1,13529.0,26.25,S,0,0.0
1,2,female,34.0,1,1,28220.0,32.5,S,0,0.0
1,3,female,0.0,1,0,367230.0,15.5,Q,0,0.0
1,3,female,0.0,0,0,330932.0,7.7875,Q,0,0.0
0,3,female,18.0,2,0,345764.0,18.0,S,0,0.0
0,3,male,19.0,0,0,349228.0,10.1708,S,0,0.0
0,1,male,0.0,0,0,17483.0,221.7792,S,C,95.0
0,3,male,48.0,0,0,350047.0,7.8542,S,0,0.0
1,3,female,5.0,0,0,364516.0,12.475,S,0,0.0
0,3,female,0.0,0,0,392087.0,8.05,S,0,0.0
1,2,female,41.0,0,1,250644.0,19.5,S,0,0.0
0,2,male,54.0,1,0,244252.0,26.0,S,0,0.0
0,3,male,33.0,0,0,349257.0,7.8958,S,0,0.0
1,1,male,23.0,0,1,17759.0,63.3583,C,D,10.0
0,3,male,0.0,0,0,362316.0,7.25,S,0,0.0
0,2,male,46.0,0,0,28403.0,26.0,S,0,0.0
0,2,male,34.0,1,0,31027.0,21.0,S,0,0.0
1,3,male,30.0,0,0,345774.0,9.5,S,0,0.0
0,1,male,18.0,1,0,17758.0,108.9,C,C,65.0
1,1,female,54.0,1,0,36947.0,78.2667,C,D,20.0
1,2,male,1.0,2,1,230136.0,39.0,S,F,4.0
0,2,male,28.0,0,0,34068.0,10.5,S,0,0.0
0,1,male,49.0,1,1,17421.0,110.8833,C,C,68.0
1,1,female,30.0,0,0,17761.0,106.425,C,0,0.0
0,3,female,3.0,3,1,349909.0,21.075,S,0,0.0
0,2,male,44.0,1,0,26707.0,26.0,S,0,0.0
0,3,male,26.0,0,0,349248.0,7.8958,S,0,0.0
0,3,male,32.0,0,0,3101292.0,7.925,S,0,0.0
1,1,female,52.0,1,0,36947.0,78.2667,C,D,20.0
0,3,male,28.0,0,0,349243.0,7.8958,S,0,0.0
1,2,female,36.0,0,0,27849.0,13.0,S,0,0.0
0,3,female,29.0,1,1,347054.0,10.4625,S,G,6.0
1,1,male,35.0,0,0,111426.0,26.55,C,0,0.0
0,3,male,30.0,0,0,2685.0,7.2292,C,0,0.0
1,1,male,36.0,1,2,113760.0,120.0,S,B,96.0
0,2,male,35.0,0,0,28206.0,10.5,S,0,0.0
0,3,male,0.0,0,0,349221.0,7.8958,S,0,0.0
0,3,male,0.0,0,0,364498.0,14.5,S,0,0.0
0,3,male,20.0,0,0,2151.0,8.05,S,0,0.0
1,3,female,15.0,0,0,330923.0,8.0292,Q,0,0.0
0,3,male,0.0,0,0,384461.0,7.75,Q,0,0.0
0,3,male,47.0,0,0,345765.0,9.0,S,0,0.0
1,2,female,32.0,0,0,234604.0,13.0,S,0,0.0
0,2,male,27.0,0,0,220367.0,13.0,S,0,0.0
0,3,male,19.0,0,0,365222.0,6.75,Q,0,0.0
0,2,male,54.0,0,0,28403.0,26.0,S,0,0.0
0,3,female,22.0,0,0,7553.0,9.8375,S,0,0.0
1,1,female,30.0,0,0,12749.0,93.5,S,B,73.0
0,3,male,0.0,8,2,2343.0,69.55,S,0,0.0
0,3,male,0.0,1,0,65303.0,19.9667,S,0,0.0
1,3,female,36.0,1,0,345572.0,17.4,S,0,0.0
0,1,male,71.0,0,0,17754.0,34.6542,C,A,5.0
1,1,female,18.0,1,0,17757.0,227.525,C,C,62.0
0,3,male,16.0,1,1,2673.0,20.25,S,0,0.0
0,3,female,0.0,3,1,4133.0,25.4667,S,0,0.0
0,3,male,34.0,0,0,363294.0,8.05,S,0,0.0
1,2,female,50.0,0,0,13531.0,10.5,S,0,0.0
0,3,male,36.0,1,0,349910.0,15.55,S,0,0.0
1,1,female,38.0,1,0,17599.0,71.2833,C,C,85.0
1,3,female,0.0,0,0,335677.0,7.75,Q,0,0.0
0,1,male,65.0,0,0,13509.0,26.55,S,E,38.0
0,3,male,1.0,4,1,3101295.0,39.6875,S,0,0.0
0,3,female,31.0,0,0,350407.0,7.8542,S,0,0.0
1,3,male,6.0,0,1,392096.0,12.475,S,E,121.0
0,3,male,22.0,0,0,345767.0,9.0,S,0,0.0
0,3,male,0.0,0,0,372622.0,7.75,Q,0,0.0
0,2,male,36.0,0,0,2163.0,12.875,C,D,0.0
0,3,male,0.0,0,0,2817.0,8.05,S,0,0.0
0,2,male,30.0,0,0,28228.0,13.0,S,0,0.0
0,2,male,23.0,0,0,244278.0,10.5,S,0,0.0
1,3,female,24.0,0,3,2666.0,19.2583,C,0,0.0
1,3,female,0.0,0,0,2626.0,7.2292,C,0,0.0
0,2,male,30.0,0,0,250653.0,13.0,S,0,0.0
0,3,male,22.0,0,0,349206.0,7.8958,S,0,0.0
1,3,male,25.0,0,0,0.0,0.0,S,0,0.0
0,1,male,0.0,0,0,113056.0,26.0,S,A,19.0
1,2,female,29.0,1,0,228414.0,26.0,S,0,0.0
1,3,female,16.0,0,0,367231.0,7.75,Q,0,0.0
1,3,male,24.0,0,0,17369.0,7.1417,S,0,0.0
1,1,male,51.0,0,0,113055.0,26.55,S,E,17.0
0,2,male,34.0,1,0,244367.0,26.0,S,0,0.0
0,1,male,29.0,1,0,113776.0,66.6,S,C,2.0
1,1,female,40.0,0,0,17582.0,153.4625,S,C,125.0
1,1,male,56.0,0,0,13213.0,35.5,C,A,26.0
0,3,male,20.0,0,0,345769.0,9.5,S,0,0.0
0,3,male,18.0,0,0,347078.0,7.75,S,0,0.0
0,2,male,27.0,0,0,211536.0,13.0,S,0,0.0
0,3,male,0.0,0,0,349227.0,7.8958,S,0,0.0
1,1,female,44.0,0,1,111361.0,57.9792,C,B,18.0
0,3,male,0.0,0,0,1601.0,56.4958,S,0,0.0
1,3,female,0.0,0,0,330931.0,7.8792,Q,0,0.0
0,3,male,19.0,0,0,0.0,0.0,S,0,0.0
1,2,male,19.0,0,0,751.0,10.5,S,0,0.0
0,1,male,37.0,0,1,17596.0,29.7,C,C,118.0
0,1,male,47.0,0,0,110465.0,52.0,S,C,110.0
0,3,male,30.0,0,0,7076.0,7.25,S,0,0.0
1,3,male,22.0,0,0,2620.0,7.225,C,0,0.0
0,3,male,40.0,1,1,364849.0,15.5,Q,0,0.0
0,2,male,25.0,0,0,244361.0,13.0,S,0,0.0
0,3,male,20.0,0,0,315094.0,8.6625,S,0,0.0
0,3,male,20.0,0,0,6563.0,9.225,S,0,0.0
0,3,male,29.0,0,0,347067.0,7.775,S,0,0.0
1,3,female,0.0,0,2,2668.0,22.3583,C,0,0.0
1,3,male,45.0,0,0,7598.0,8.05,S,0,0.0
1,3,male,0.0,0,0,2677.0,7.2292,C,0,0.0
0,3,male,26.0,0,0,3474.0,7.8875,S,0,0.0
0,3,male,0.0,1,0,371110.0,24.15,Q,0,0.0
0,3,male,18.0,0,0,2223.0,8.3,S,0,0.0
0,1,male,65.0,0,1,113509.0,61.9792,C,B,30.0
1,1,female,36.0,0,2,5735.0,71.0,S,B,22.0
0,3,male,0.0,0,0,23567.0,8.05,S,0,0.0
0,3,male,0.0,0,0,36568.0,15.5,Q,0,0.0
1,2,female,25.0,1,1,237789.0,30.0,S,0,0.0
1,3,female,4.0,1,1,9549.0,16.7,S,G,6.0
1,2,female,34.0,0,1,231919.0,23.0,S,0,0.0
0,3,male,4.0,4,1,382652.0,29.125,Q,0,0.0
0,2,male,0.0,0,0,239856.0,0.0,S,0,0.0
1,3,female,0.75,2,1,2666.0,19.2583,C,0,0.0
1,2,female,22.0,1,1,248738.0,29.0,S,0,0.0
0,3,male,22.0,0,0,14973.0,8.05,S,0,0.0
0,3,male,20.0,0,0,2648.0,4.0125,C,0,0.0
1,3,female,0.0,1,0,370365.0,15.5,Q,0,0.0
1,2,female,14.0,1,0,237736.0,30.0708,C,0,0.0
1,2,female,32.5,0,0,27267.0,13.0,S,E,101.0
0,3,female,10.0,0,2,345773.0,24.15,S,0,0.0
0,3,male,34.0,0,0,364506.0,8.05,S,0,0.0
0,3,female,21.0,2,2,6608.0,34.375,S,0,0.0
0,3,male,41.0,2,0,350026.0,14.1083,S,0,0.0
1,1,female,43.0,0,1,24160.0,211.3375,S,B,3.0
0,3,female,18.0,0,0,347087.0,7.775,S,0,0.0
0,3,female,31.0,1,0,345763.0,18.0,S,0,0.0
0,1,male,40.0,0,0,17601.0,27.7208,C,0,0.0
1,2,female,45.0,0,0,223596.0,13.5,S,0,0.0
0,3,male,28.0,0,0,4001.0,22.525,S,0,0.0
0,3,male,29.0,1,0,3460.0,7.0458,S,0,0.0
0,3,male,38.0,0,0,315089.0,8.6625,S,0,0.0
1,2,female,40.0,0,0,31418.0,13.0,S,0,0.0
0,3,female,0.0,8,2,2343.0,69.55,S,0,0.0
1,1,female,0.0,1,0,17604.0,82.1708,C,0,0.0
0,1,male,0.0,0,0,17605.0,27.7208,C,0,0.0
0,3,male,51.0,0,0,347064.0,7.75,S,0,0.0
1,2,male,0.83,1,1,29106.0,18.75,S,0,0.0
0,3,male,9.0,5,2,2144.0,46.9,S,0,0.0
0,3,male,26.0,1,2,2315.0,20.575,S,0,0.0
0,3,female,0.0,0,0,330909.0,7.6292,Q,0,0.0
0,2,male,54.0,0,0,29011.0,14.0,S,0,0.0
0,1,male,0.0,0,0,113028.0,26.55,S,C,124.0
0,3,male,30.0,0,0,392090.0,8.05,S,0,0.0
1,2,female,4.0,2,1,230136.0,39.0,S,F,4.0
1,2,female,36.0,0,0,28551.0,13.0,S,D,0.0
0,3,male,16.0,0,0,345778.0,9.5,S,0,0.0
0,3,male,0.0,0,0,2627.0,14.4583,C,0,0.0
0,3,male,25.0,1,0,349237.0,17.8,S,0,0.0
0,3,male,0.0,1,0,65304.0,19.9667,S,0,0.0
1,3,female,0.0,0,0,370370.0,7.75,Q,0,0.0
0,3,female,2.0,3,2,347088.0,27.9,S,0,0.0
0,3,male,0.0,0,0,2700.0,7.2292,C,0,0.0
0,3,male,0.0,8,2,2343.0,69.55,S,0,0.0
0,2,male,30.0,1,0,3381.0,24.0,C,0,0.0
0,3,male,34.5,0,0,2683.0,6.4375,C,0,0.0
0,3,male,51.0,0,0,21440.0,8.05,S,0,0.0
0,3,female,47.0,1,0,3337.0,14.5,S,0,0.0
1,1,female,58.0,0,0,113783.0,26.55,S,C,103.0
0,2,male,29.0,1,0,2167.0,27.7208,C,0,0.0
0,3,male,28.0,0,0,1601.0,56.4958,S,0,0.0
0,1,male,27.0,0,2,113503.0,211.5,C,C,82.0
1,1,male,35.0,0,0,17475.0,26.2875,S,E,24.0
0,3,female,26.0,1,0,3336.0,16.1,S,0,0.0
0,3,male,17.0,0,0,315093.0,8.6625,S,0,0.0
0,3,female,41.0,0,5,3101295.0,39.6875,S,0,0.0
0,3,male,19.0,0,0,3464.0,8.1583,S,0,0.0
0,3,male,22.0,0,0,4348.0,9.35,S,0,0.0
0,3,male,22.0,0,0,324669.0,8.05,S,0,0.0
0,3,female,20.0,1,0,4136.0,9.825,S,0,0.0
0,3,male,20.0,0,0,347466.0,7.8542,S,0,0.0
0,2,female,38.0,0,0,237671.0,13.0,S,0,0.0
0,1,male,64.0,0,0,693.0,26.0,S,0,0.0
0,1,male,70.0,1,1,5735.0,71.0,S,B,22.0
0,3,male,23.0,0,0,347468.0,7.8542,S,0,0.0
1,1,female,22.0,1,0,113776.0,66.6,S,C,2.0
0,3,female,28.0,0,0,349245.0,7.8958,S,0,0.0
0,3,male,0.0,0,0,2641.0,7.2292,C,0,0.0
1,1,male,26.0,0,0,111369.0,30.0,C,C,148.0
0,3,female,11.0,4,2,347082.0,31.275,S,0,0.0
0,2,male,39.0,0,0,248723.0,13.0,S,0,0.0
1,3,male,9.0,1,1,37671.0,15.9,S,0,0.0
0,3,female,45.0,1,4,347088.0,27.9,S,0,0.0
0,2,male,52.0,0,0,248731.0,13.5,S,0,0.0
1,1,male,42.0,0,0,17476.0,26.2875,S,E,24.0
0,2,male,28.0,0,0,248740.0,13.0,S,0,0.0
1,2,male,3.0,1,1,29106.0,18.75,S,0,0.0
0,1,male,0.0,0,0,17757.0,227.525,C,0,0.0
0,3,male,45.5,0,0,2628.0,7.225,C,0,0.0
1,3,female,4.0,0,1,349256.0,13.4167,C,0,0.0
0,3,male,0.0,0,0,330979.0,7.8292,Q,0,0.0
0,3,female,25.0,0,0,347071.0,7.775,S,0,0.0
1,2,female,6.0,0,1,248727.0,33.0,S,0,0.0
1,2,female,50.0,0,0,14258.0,10.5,S,0,0.0
0,3,male,0.0,1,0,367229.0,7.75,Q,0,0.0
0,3,female,16.0,5,2,2144.0,46.9,S,0,0.0
1,3,female,0.0,0,0,330980.0,7.8792,Q,0,0.0
0,2,male,0.0,0,0,239853.0,0.0,S,0,0.0
0,3,male,2.0,4,1,3101295.0,39.6875,S,0,0.0
0,3,male,33.0,0,0,7540.0,8.6542,S,0,0.0
1,1,female,50.0,0,1,17558.0,247.5208,C,B,58.0
0,2,male,32.0,0,0,33111.0,10.5,S,0,0.0
0,3,male,26.0,0,0,341826.0,8.05,S,0,0.0
1,1,female,33.0,0,0,110152.0,86.5,S,B,77.0
0,2,male,0.0,0,0,239853.0,0.0,S,0,0.0
1,1,male,48.0,0,0,19952.0,26.55,S,E,12.0
0,2,male,24.0,0,0,29566.0,10.5,S,0,0.0
0,3,male,31.0,0,0,347063.0,7.775,S,0,0.0
1,1,male,34.0,0,0,113794.0,26.55,S,0,0.0
0,2,male,47.0,0,0,237565.0,15.0,S,0,0.0
0,3,male,24.0,0,0,349209.0,7.4958,S,0,0.0
0,3,male,17.0,0,0,315086.0,8.6625,S,0,0.0
0,1,male,56.0,0,0,17764.0,30.6958,C,A,7.0
1,3,female,14.0,1,0,2651.0,11.2417,C,0,0.0
0,3,male,0.0,0,0,392086.0,8.05,S,0,0.0
0,3,female,28.0,1,1,347080.0,14.4,S,0,0.0
0,3,male,25.0,0,0,392076.0,7.05,S,0,0.0
1,2,female,0.0,0,0,226593.0,12.35,Q,E,101.0
0,2,male,42.0,1,0,243847.0,27.0,S,0,0.0
0,3,male,28.0,1,0,3101279.0,15.85,S,0,0.0
1,3,female,30.0,0,0,364516.0,12.475,S,0,0.0
0,3,female,37.0,0,0,4135.0,9.5875,S,0,0.0
0,2,male,25.0,1,0,236853.0,26.0,S,0,0.0
0,1,male,62.0,0,0,113807.0,26.55,S,0,0.0
1,2,female,5.0,1,2,34651.0,27.75,S,0,0.0
1,3,male,9.0,0,2,363291.0,20.525,S,0,0.0
0,1,male,62.0,0,0,113514.0,26.55,S,C,87.0
0,3,male,9.0,4,2,347077.0,31.3875,S,0,0.0
0,2,male,42.0,0,0,244310.0,13.0,S,0,0.0
1,1,female,23.0,1,0,35273.0,113.275,C,D,36.0
0,3,male,39.0,0,0,3101296.0,7.925,S,0,0.0
1,1,male,36.0,0,0,17474.0,26.3875,S,E,25.0
0,3,male,25.0,0,0,374887.0,7.25,S,0,0.0
0,3,male,33.0,0,0,349241.0,7.8958,C,0,0.0
1,2,female,31.0,1,1,31921.0,26.25,S,0,0.0
1,2,female,28.0,0,0,237668.0,13.0,S,0,0.0
1,2,female,48.0,1,2,220845.0,65.0,S,0,0.0
1,1,female,45.0,1,1,36928.0,164.8667,S,0,0.0
0,3,male,21.0,0,0,45380.0,8.05,S,0,0.0
1,1,male,50.0,2,0,17611.0,133.65,S,0,0.0
1,3,female,0.0,0,0,36866.0,7.7375,Q,0,0.0
1,1,female,0.0,0,0,17421.0,110.8833,C,0,0.0
0,3,female,0.0,0,0,382649.0,7.75,Q,0,0.0
0,3,male,31.0,0,0,335097.0,7.75,Q,0,0.0
1,3,male,16.0,0,0,392089.0,8.05,S,0,0.0
0,2,male,18.0,0,0,231945.0,11.5,S,0,0.0
0,3,male,33.0,0,0,349239.0,8.6625,C,0,0.0
1,1,female,38.0,0,0,17757.0,227.525,C,C,45.0
0,3,male,26.0,0,0,349224.0,7.8958,S,0,0.0
1,1,female,22.0,0,1,113505.0,55.0,S,E,33.0
0,3,female,17.0,0,0,2627.0,14.4583,C,0,0.0
0,3,male,0.0,0,0,349253.0,7.8958,C,0,0.0
1,3,male,27.0,0,0,347089.0,6.975,S,0,0.0
1,1,female,16.0,0,1,17592.0,39.4,S,D,28.0
0,3,male,0.0,0,0,2671.0,7.2292,C,0,0.0
1,1,male,80.0,0,0,27042.0,30.0,S,A,23.0
1,1,female,0.0,1,0,17569.0,146.5208,C,B,78.0
0,3,female,0.0,3,1,4133.0,25.4667,S,0,0.0
0,1,male,47.0,0,0,111320.0,38.5,S,E,63.0
0,1,male,55.0,0,0,113787.0,30.5,S,C,30.0
0,3,male,0.0,1,0,376564.0,16.1,S,0,0.0
0,3,male,22.0,0,0,3101275.0,7.125,S,0,0.0
0,3,male,30.0,0,0,349246.0,7.8958,S,0,0.0
0,3,male,30.5,0,0,364499.0,8.05,S,0,0.0
1,1,male,48.0,1,0,17572.0,76.7292,C,D,33.0
0,3,male,40.0,0,0,349251.0,7.8958,S,0,0.0
0,3,female,0.0,0,2,2678.0,15.2458,C,0,0.0
0,3,female,21.0,0,0,364846.0,7.75,Q,0,0.0
0,1,female,2.0,1,2,113781.0,151.55,S,C,22.0
1,2,male,8.0,1,1,33112.0,36.75,S,0,0.0
0,3,male,21.0,0,0,54636.0,16.1,S,0,0.0
1,1,female,48.0,1,0,11755.0,39.6,C,A,16.0
1,3,female,19.0,0,0,330958.0,7.8792,Q,0,0.0
0,3,male,35.0,0,0,349213.0,7.8958,C,0,0.0
1,3,male,32.0,0,0,392078.0,8.05,S,E,10.0
0,3,male,0.0,0,0,2624.0,7.225,C,0,0.0
0,3,male,16.0,1,3,6608.0,34.375,S,0,0.0
1,1,female,60.0,1,0,110813.0,75.25,C,D,37.0
1,3,female,26.0,0,0,347470.0,7.8542,S,0,0.0
1,3,female,1.0,1,1,347742.0,11.1333,S,0,0.0
0,3,male,0.0,0,0,349214.0,7.8958,S,0,0.0
1,3,male,32.0,0,0,350417.0,7.8542,S,0,0.0
1,1,female,0.0,0,1,113505.0,55.0,S,E,33.0
